,CAL_LSAHDE,LSHADE44+IDE,LSAHDE44,UDE,HECO-ES,HECO-DE,MA_ES,IUDE,LSAHDE_IEpsilon,DeCODE
0,22.6015,1e-08,0.0,0.0,1.4e-28,7.44E-28,0.0,0.0,0.0,0.0
1,10.4238,0.0,0.0,0.0,2.8800000000000002e-27,6.70E-28,0.0,0.0,0.0,0.0
2,6710000.0,26539513.1161186,894521.0,108.76,3.95e-27,40.50232711,0.0,565.28,24338.75904,0.0
3,187.37,13.98801857,13.5728,146.86,0.0,13.57278715,118.90439,64.522,13.57334736,14.79
4,1.00127,0.0,0.0,13.403,0.0,1.58E-27,0.0,0.0,0.31892991,0.0
5,6367.36,8600.81842189,7514.8,742.58,56.2,332.4039891,287.07668,858.82,976.0900424,684.056
6,-68.1059,-153.96259196,-179.064,-978.76,-2080.0,-286.6553601,-1374.5173,-195.54,-322.0842616,-92.527188
7,0.0009928,0.00028585,-0.00013454,0.00014504,-0.000134,-0.00013451,-0.00013453,-0.0001334,-0.00010991,-0.00013355
8,0.0810008,-0.0016775,-0.00203709,-0.0020371,-0.00203,-0.002037092,0.66592976,-0.0020371,-0.00173536,2.03654297
9,-4.28e-05,9.119e-05,-4.827e-05,3.036e-05,-4.76e-05,-4.83e-05,-4.827e-05,-4.827e-05,-4.786e-05,-4.816e-05
10,4.75824,-1.92541531,-1.76535,-177.23,-2.01,-1625.559342,-3.7010693,-1207.7,-2851.731268,-4526.36
11,24.76,7.35657476,49.7578,20.935,62.2,5.539852893,50.571035,6.2686,27.35444648,13.355852
12,28658.5,73.63531791,26.7008,1122.4,4.0400000000000005e-27,0.332218655,294.60895,18.687,11.92277293,0.0
13,1.22882,1.4611036,1.40365,1.2303,1.1,1.101098941,1.3423631,1.1,1.10420636,1.1
14,30.4855,13.66588819,17.8128,10.524,2.62,2.35612378,14.544259,6.0004,8.76497284,6.377352
15,347.032,251.45305136,253.149,12.126,0.0,0.0,0.0,6.2831,16.8387996,6.283036
16,1.05454,1.04258809,1.03717,1.0484,-8.91e-19,1.049999976,1.0346684,0.60869,1.01814405,0.9231172
17,3195.71,7340.76004816,5666.52,4064.8,35.7,36.32007049,36.587921,372.7,36.782577,79531.72
18,0.301994,0.0,1.212e-05,4.6618,0.453,0.0,12.522639,0.70606,0.0,0.00971051
19,3.61902,4.57888046,3.20348,7.593,2.28,2.691674636,15.152139,8.676,3.50284114,3.749652
20,12.6618,62.16844695,62.8569,6.4317,61.6,10.37216232,55.251317,11.252,11.40873783,19.1540556
21,61762.5,7838.52911819,8392.76,2897.4,6.45e-28,43.79822001,976.0912,463.22,125585.14216,16.94664
22,1.14533,1.37421198,1.33841,1.1023,1.1,1.102141016,1.3429876,1.1021,1.10032948,1.529364
23,20.9023,14.9225283,14.2942,11.278,2.88,2.748828174,12.157945,4.2411,9.26762775,5.120708
24,353.965,254.15482351,248.5,22.431,1.7699999999999999e-149,6.283046087,0.0,7.6026,78.91667572,6.28306
25,1.04949,1.04106341,1.03966,1.047,-8.79e-19,-1.8999999999999998e+25,1.032586,0.91772,1.0333624,1.0165308
26,7159.79,63734.68024425,21735.5,10372.0,35.7,39.47085866,36.469315,494.83,40.3197114,258317.2
27,217.154,267.18892354,265.014,125.41,0.705,2.784920001,95.277704,181.74,279.3321832,190.1296
